"Aylik_Yas","raw","norm","percentile"
76,"52",68.15,96.5
76,"51 - 47",69.23,97.3
77,"138 - 115",30.67,2.7
77,"114",31.18,3
77,"113",31.68,3.3
77,"112",32.17,3.7
77,"111",32.65,4.1
77,"110",33.12,4.6
77,"109",33.59,5
77,"108",34.05,5.5
77,"107",34.51,6.1
77,"106",34.96,6.6
77,"105",35.41,7.2
77,"104",35.86,7.9
77,"103",36.3,8.5
77,"102",36.75,9.3
77,"101",37.19,10
77,"100",37.63,10.8
77,"99",38.07,11.6
77,"98",38.51,12.5
77,"97",38.95,13.5
77,"96",39.39,14.4
77,"95",39.83,15.5
77,"94",40.27,16.5
77,"93",40.72,17.7
77,"92",41.17,18.9
77,"91",41.62,20.1
77,"90",42.07,21.4
77,"89",42.52,22.7
77,"88",42.98,24.1
77,"87",43.45,25.6
77,"86",43.92,27.1
77,"85",44.39,28.7
77,"84",44.87,30.4
77,"83",45.35,32.1
77,"82",45.84,33.9
77,"81",46.34,35.7
77,"80",46.85,37.6
77,"79",47.36,39.6
77,"78",47.88,41.6
77,"77",48.42,43.7
77,"76",48.96,45.9
77,"75",49.51,48.1
77,"74",50.08,50.3
77,"73",50.66,52.6
77,"72",51.25,55
77,"71",51.86,57.4
77,"70",52.48,59.8
77,"69",53.12,62.3
77,"68",53.79,64.8
77,"67",54.47,67.3
77,"66",55.18,69.8
77,"65",55.91,72.3
77,"64",56.67,74.8
77,"63",57.45,77.2
77,"62",58.27,79.6
77,"61",59.12,81.9
77,"60",60,84.1
77,"59",60.92,86.3
77,"58",61.87,88.2
77,"57",62.85,90.1
77,"56",63.85,91.7
77,"55",64.87,93.1
77,"54",65.89,94.4
77,"53",66.91,95.5
77,"52",67.92,96.3
77,"51 - 47",68.9,97.1
78,"138 - 122",30.26,2.4
78,"121",30.57,2.6
78,"120",30.87,2.8
78,"119",31.18,3
78,"118",31.49,3.2
78,"117",31.8,3.4
78,"116",32.12,3.7
78,"115",32.44,4
78,"114",32.76,4.2
78,"113",33.08,4.5
78,"112",33.4,4.8
78,"111",33.73,5.2
78,"110",34.06,5.5
78,"109",34.4,5.9
78,"108",34.73,6.3
78,"107",35.07,6.8
78,"106",35.42,7.2
78,"105",35.76,7.7
78,"104",36.11,8.2
78,"103",36.47,8.8
78,"102",36.83,9.4
78,"101",37.19,10
78,"100",37.56,10.7
78,"99",37.93,11.4
78,"98",38.3,12.1
78,"97",38.68,12.9
78,"96",39.07,13.7
78,"95",39.46,14.6
78,"94",39.86,15.5
78,"93",40.26,16.5
78,"92",40.67,17.5
78,"91",41.08,18.6
78,"90",41.5,19.8
78,"89",41.93,21
78,"88",42.37,22.3
78,"87",42.81,23.6
78,"86",43.26,25
78,"85",43.72,26.5
78,"84",44.19,28.1
78,"83",44.67,29.7
78,"82",45.16,31.4
78,"81",45.66,33.2
78,"80",46.17,35.1
78,"79",46.69,37
78,"78",47.22,39.1
78,"77",47.77,41.2
78,"76",48.34,43.4
78,"75",48.91,45.7
78,"74",49.51,48
78,"73",50.12,50.5
78,"72",50.75,53
78,"71",51.39,55.5
78,"70",52.06,58.2
78,"69",52.75,60.8
78,"68",53.47,63.6
78,"67",54.2,66.3
78,"66",54.96,69
78,"65",55.75,71.7
78,"64",56.56,74.4
78,"63",57.4,77
78,"62",58.27,79.6
78,"61",59.16,82
78,"60",60.07,84.3
78,"59",60.99,86.4
78,"58",61.94,88.4
78,"57",62.89,90.1
78,"56",63.84,91.7
78,"55",64.78,93
78,"54",65.72,94.2
78,"53",66.63,95.2
78,"52",67.53,96
78,"51",68.39,96.7
78,"50 - 47",69.23,97.3
79,"138 - 131",30.3,2.4
79,"130",30.49,2.6
79,"129",30.69,2.7
79,"128",30.89,2.8
79,"127",31.09,2.9
79,"126",31.29,3.1
79,"125",31.49,3.2
79,"124",31.7,3.4
79,"123",31.91,3.5
79,"122",32.13,3.7
79,"121",32.34,3.9
79,"120",32.56,4.1
79,"119",32.78,4.3
79,"118",33.01,4.5
79,"117",33.23,4.7
79,"116",33.47,4.9
79,"115",33.7,5.2
79,"114",33.94,5.4
79,"113",34.18,5.7
79,"112",34.42,6
79,"111",34.67,6.3
79,"110",34.93,6.6
79,"109",35.18,6.9
79,"108",35.44,7.3
79,"107",35.71,7.6
79,"106",35.98,8
79,"105",36.25,8.5
79,"104",36.53,8.9
79,"103",36.82,9.4
79,"102",37.11,9.9
79,"101",37.4,10.4
79,"100",37.7,10.9
79,"99",38.01,11.5
79,"98",38.32,12.1
79,"97",38.64,12.8
79,"96",38.97,13.5
79,"95",39.31,14.2
79,"94",39.65,15
79,"93",40,15.9
79,"92",40.35,16.7
79,"91",40.72,17.7
79,"90",41.1,18.7
79,"89",41.48,19.7
79,"88",41.88,20.8
79,"87",42.28,22
79,"86",42.7,23.3
79,"85",43.13,24.6
79,"84",43.58,26
79,"83",44.03,27.5
79,"82",44.5,29.1
79,"81",44.99,30.8
79,"80",45.49,32.6
79,"79",46.01,34.5
79,"78",46.55,36.5
79,"77",47.1,38.6
79,"76",47.68,40.8
79,"75",48.28,43.2
79,"74",48.9,45.6
79,"73",49.55,48.2
79,"72",50.22,50.9
79,"71",50.92,53.7
79,"70",51.65,56.5
79,"69",52.4,59.5
79,"68",53.18,62.5
79,"67",53.99,65.5
79,"66",54.83,68.5
79,"65",55.69,71.5
79,"64",56.57,74.4
79,"63",57.47,77.2
79,"62",58.38,79.9
79,"61",59.3,82.4
79,"60",60.22,84.7
79,"59",61.14,86.7
79,"58",62.04,88.6
79,"57",62.94,90.2
79,"56",63.81,91.6
79,"55",64.66,92.9
79,"54",65.49,93.9
79,"53",66.29,94.8
79,"52",67.07,95.6
79,"51",67.82,96.3
79,"50",68.55,96.8
79,"49 - 47",69.25,97.3
80,"138",30.98,2.9
80,"137",31.12,3
80,"136",31.26,3
