"Aylik_Yas","raw","norm","percentile"
81,"62",51.5,56
81,"61",52.61,60.3
81,"60",53.79,64.8
81,"59",55.04,69.3
81,"58",56.33,73.7
81,"57",57.62,77.7
81,"56",58.86,81.2
81,"55",60.03,84.2
81,"54",61.1,86.7
81,"53",62.07,88.6
81,"52",62.95,90.2
81,"51",63.75,91.5
81,"50",64.48,92.6
81,"49",65.15,93.5
81,"48",65.76,94.3
81,"47",66.33,94.9
81,"46",66.86,95.4
81,"45",67.36,95.9
81,"44",67.82,96.3
81,"43",68.26,96.6
81,"42",68.68,96.9
81,"41",69.07,97.2
81,"40",69.45,97.4
81,"39 - 35",69.81,97.6
82,"100 - 96",30.47,2.5
82,"95",30.95,2.8
82,"94",31.43,3.2
82,"93",31.91,3.5
82,"92",32.38,3.9
82,"91",32.85,4.3
82,"90",33.31,4.8
82,"89",33.78,5.2
82,"88",34.25,5.8
82,"87",34.71,6.3
82,"86",35.19,6.9
82,"85",35.66,7.6
82,"84",36.14,8.3
82,"83",36.62,9
82,"82",37.11,9.9
82,"81",37.6,10.8
82,"80",38.1,11.7
82,"79",38.62,12.7
82,"78",39.14,13.9
82,"77",39.67,15.1
82,"76",40.21,16.4
82,"75",40.77,17.8
82,"74",41.35,19.3
82,"73",41.94,21
82,"72",42.56,22.8
82,"71",43.2,24.8
82,"70",43.86,27
82,"69",44.56,29.3
82,"68",45.3,31.9
82,"67",46.07,34.7
82,"66",46.9,37.8
82,"65",47.79,41.2
82,"64",48.74,45
82,"63",49.78,49.1
82,"62",50.91,53.6
82,"61",52.14,58.5
82,"60",53.46,63.5
82,"59",54.84,68.6
82,"58",56.23,73.4
82,"57",57.57,77.5
82,"56",58.79,81
82,"55",59.88,83.8
82,"54",60.86,86.1
82,"53",61.72,87.9
82,"52",62.5,89.4
82,"51",63.2,90.7
82,"50",63.84,91.7
82,"49",64.42,92.5
82,"48",64.97,93.3
82,"47",65.47,93.9
82,"46",65.94,94.5
82,"45",66.38,94.9
82,"44",66.79,95.3
82,"43",67.19,95.7
82,"42",67.56,96
82,"41",67.91,96.3
82,"40",68.25,96.6
82,"39",68.58,96.8
82,"38",68.89,97.1
82,"37",69.19,97.3
82,"36",69.48,97.4
82,"35",69.76,97.6
